sku,period_start,units_sold,revenue
SKU-1011,2024-09-01,338,6029.92
SKU-1011,2024-10-01,383,6832.72
SKU-1011,2024-11-01,361,6440.24
SKU-1011,2024-12-01,304,5423.36
SKU-1011,2025-01-01,272,4852.48
SKU-1011,2025-02-01,271,4834.64
SKU-1011,2025-03-01,284,5066.56
SKU-1011,2025-04-01,315,5619.60
SKU-1011,2025-05-01,313,5583.92
SKU-1011,2025-06-01,329,5869.36
SKU-1011,2025-07-01,315,5619.60
SKU-1011,2025-08-01,333,5940.72
SKU-1011,2025-09-01,347,6190.48
SKU-1011,2025-10-01,256,4567.04
SKU-1011,2025-11-01,255,4549.20
SKU-1011,2025-12-01,241,4299.44
SKU-1011,2026-01-01,190,3389.60
SKU-1011,2026-02-01,309,5512.56
SKU-1011,2026-03-01,212,3782.08
SKU-1011,2026-04-01,308,5494.72
SKU-1011,2026-05-01,326,5815.84
SKU-1011,2026-06-01,265,4727.60
SKU-1011,2026-07-01,273,4870.32
SKU-1011,2026-08-01,395,7046.80
